Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
798,,,1,13,,,,,,,1,0,,,,,1
799,,,1,13,,,,,,,1,0,,,,,1
801,,,1,21,,,,,,,1,0,,,,,1
802,,,1,32,,,,,,,1,0,,,,,1
804,,,1,12,,,,,,,1,0,,,,,1
808,,,1,6,,,,,,,1,0,,,,,1
811,,,1,8,,,,,,,1,0,,,,,1
814,,,1,6,,,,,,,1,0,,,,,1
817,,,1,9,,,,,,,1,0,,,,,1
819,,,1,5,,,,,,,1,0,,,,,1
820,,,1,11,,,,,,,1,0,,,,,1
821,,,1,5,,,,,,,1,0,,,,,1
824,,,1,5,,,,,,,1,0,,,,,1
826,,,1,29,,,,,,,1,0,,,,,1
829,,,1,5,,,,,,,1,0,,,,,1
832,,,1,18,,,,,,,1,0,,,,,1
833,,,1,8,,,,,,,1,0,,,,,1
834,,,1,116,,,,,,,68,13,0.0,0.0,,4.0,1
835,,,1,41,,,,,,,68,12,0.0,0.0,,3.0,1
836,,,1,9,,,,,,,1,0,,,,,1
837,,,1,5,,,,,,,1,0,,,,,1
840,,,1,11,,,,,,,1,0,,,,,1
842,,,1,6,,,,,,,85,47,0.0,0.0,,4.0,4
843,,,1,34,,,,,,,84,47,0.0,0.0,,4.0,4
844,,,1,7,,,,,,,1,0,,,,,1
845,,,1,22,,,,,,,87,32,0.0,0.0,,4.0,4
846,,,1,21,,,,,,,1,0,,,,,1
850,,,1,13,17.0,,,,,,1,0,,,,,1
851,,,1,13,1.0,,,,,,1,0,,,,,1
855,,,1,7,4.0,,,,,,1,0,,,,,1
861,,,1,8,6.0,,,,,,1,0,,,,,1
862,,,1,10,22.0,,,,,,1,0,,,,,1
863,,,1,8,26.0,,,,,,1,0,,,,,1
864,,,1,5,9.0,,,,,,1,0,,,,,1
866,,,1,6,8.0,,,,,,1,0,,,,,1
876,,,1,6,11.0,,,,,,1,0,,,,,1
877,,,1,7,12.0,,,,,,1,0,,,,,1
880,,,1,8,4.0,,,,,,1,0,,,,,1
884,,,1,6,42.0,,,,,,1,0,,,,,1
886,,,1,5,1.0,,,,,,1,0,,,,,1
887,,,1,6,5.0,,,,,,1,0,,,,,1
899,,,1,6,9.0,,,,,,1,0,,,,,1
900,,,1,5,6.0,,,,,,1,0,,,,,1
901,,,1,8,36.0,,,,,,1,0,,,,,1
909,,,1,14,33.0,,,,,,1,0,,,,,1
910,,,1,10,66.0,,,,,,69,33,0.0,0.0,,8.0,4
912,,,1,8,21.0,,,,,,1,0,,,,,1
1940,,,1,7,,,,,,7.0,1,0,,,,,3
1942,,,1,6,,,,,,6.0,1,0,,,,,3
1943,,,1,5,,,,,,5.0,1,0,,,,,3
1944,,,4,9,,,,,,46696.0,1,0,,,,,3
1957,,,2,7,,,,,,7.0,1,0,,,,,3
1965,,,2,10,,,,,,10.0,1,0,,,,,3
1966,,,2,9,,,,,,9.0,1,0,,,,,3
1968,,,2,8,,,,,,8.0,1,0,,,,,3
1970,,,2,5,,,,,,5.0,1,0,,,,,3
1975,,,2,10,,,,,,10.0,1,0,,,,,3
1978,,,2,12,,,,,,12.0,1,0,,,,,3
1979,,,2,8,,,,,,8.0,1,0,,,,,3
1982,,,2,6,,,,,,6.0,1,0,,,,,3
1984,,,2,8,,,,,,8.0,1,0,,,,,3
1987,,,2,11,,,,,,11.0,1,0,,,,,3
1988,,,2,5,,,,,,5.0,1,0,,,,,3
1989,,,2,6,,,,,,6.0,1,0,,,,,3
1990,,,2,5,,,,,,5.0,1,0,,,,,3
1992,,,2,6,,,,,,6.0,1,0,,,,,3
1993,,,2,6,,,,,,6.0,1,0,,,,,3
1997,,,2,7,,,,,,7.0,1,0,,,,,3
2000,,,2,5,,,,,,5.0,1,0,,,,,3
2002,,,2,6,,,,,,1926.0,1,0,,,,,3
2004,,,2,5,,,,,,5.0,1,0,,,,,3
